id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
578476906298443845,(W1) Cozy + Cute South End Studio,331225367,Stone,,South End,42.3378,-71.07657,Entire home/apt,224,1,9,2022-09-01,2.01,65,75,9,Exempt: This listing is a unit that has contracts with hospitals
578829581723459472,Boston Studio on Newbury w/ A+ shopping & dining,107434423,Blueground,,Back Bay,42.3496453,-71.0813703,Entire home/apt,211,32,0,,,477,284,0,
578946346482183711,Gray Street Monthly Rental! NEW!!,331225367,Stone,,South End,42.3452,-71.0728,Entire home/apt,165,1,8,2022-08-12,1.56,65,128,8,Exempt: This listing is a unit that has contracts with hospitals
578997260391302435,Thatch Quarters™ | Pvt. Room in Southie | 304,814298,Thatch,,South Boston Waterfront,42.34318,-71.05564,Private room,125,1,13,2022-07-25,2.35,113,83,13,Exempt: This listing is a hotel or motel
579003720446743556,Thatch Quarters™ | Pvt. Room in Southie | 305,814298,Thatch,,South Boston,42.34316,-71.0557,Private room,125,1,7,2022-09-04,1.91,113,72,7,Exempt: This listing is a hotel or motel
579012272657499009,Thatch Quarters™ | Pvt. Room in Southie | 306,814298,Thatch,,South Boston,42.34151,-71.05573,Private room,125,1,6,2022-07-25,1.54,113,85,6,Exempt: This listing is a hotel or motel
579090542684624459,Sunny private apartment Harvard/BU/Charles Rvr/MIT,28362520,Meredith,,Allston,42.36124,-71.12376,Entire home/apt,175,5,2,2022-05-30,0.38,4,0,2,STR-457198
579138346910121164,Thatch Quarters™ | Pvt. Room in Southie | 403,814298,Thatch,,South Boston,42.3431,-71.05742,Private room,125,1,6,2022-06-27,1.16,113,86,6,Exempt: This listing is a hotel or motel
579155637396199837,Thatch Quarters™ | Pvt. Room in Southie | 404,814298,Thatch,,South Boston,42.34177,-71.05555,Private room,125,1,9,2022-08-01,2.11,113,89,9,Exempt: This listing is a hotel or motel
579173215696247499,Thatch Quarters™ | Pvt. Room in Southie | 405,814298,Thatch,,South Boston,42.34311,-71.05769,Private room,125,1,9,2022-07-30,1.80,113,86,9,Exempt: This listing is a hotel or motel
579197401891486470,Thatch Quarters™ | Pvt. Room in Southie | 406,814298,Thatch,,South Boston Waterfront,42.34336,-71.05592,Private room,125,1,3,2022-07-28,0.77,113,92,3,Exempt: This listing is a hotel or motel
579562467128239369,Pvt. Bedroom & Bath | Co-living by Thatch™| 33 #1A,814298,Thatch,,Roxbury,42.33021,-71.09176,Private room,72,29,1,2022-05-07,0.23,113,240,1,
579663257489291633,"Downtown Boston Studio 75"" HDTV Smart Home Theater",914769,Michael,,Downtown,42.351456,-71.064568,Entire home/apt,200,2,26,2022-09-07,4.48,3,30,26,STR-413201
